"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"SAPAG, Alma Liliana","Movimiento Popular Neuquino","Neuquén","NEGATIVO"
"SCAGLIA, Gisela","PRO","Santa Fe","NEGATIVO"
"SCHLERETH, David Pablo","PRO","Neuquén","NEGATIVO"
"SCHMIDT LIERMANN, Cornelia","PRO","C.A.B.A.","NEGATIVO"
"SCIOLI, Daniel","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SELVA, Carlos Américo","Federal Unidos por una Nueva Argentina","Buenos Aires","NEGATIVO"
"SIERRA, Magdalena","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SILEY, Vanesa","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"SNOPEK, Alejandro","Federal Unidos por una Nueva Argentina","Jujuy","NEGATIVO"
"SOLÁ, Felipe Carlos","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"SOLANAS, Julio Rodolfo","Frente para la Victoria - PJ","Entre Ríos","NEGATIVO"
"SORAIRE, Mirta Alicia","Frente para la Victoria - PJ","Tucumán","NEGATIVO"
"SORIA, María Emilia","Frente para la Victoria - PJ","Rio Negro","AFIRMATIVO"
"STEFANI, Héctor Antonio","PRO","Tierra del Fuego","AFIRMATIVO"
"SUAREZ LASTRA, Facundo","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"TABOADA, Jorge","Cultura, Educación y Trabajo","Chubut","NEGATIVO"
"TAILHADE, Luis Rodolfo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"TERADA, Alicia","Coalición Cívica","Chaco","NEGATIVO"
"TONELLI, Pablo Gabriel","PRO","C.A.B.A.","NEGATIVO"
"TORELLO, Pablo","PRO","Buenos Aires","NEGATIVO"
"TUNDIS, Mirta","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"URROZ, Paula","PRO","Buenos Aires","NEGATIVO"
"VALLEJOS, María Fernanda","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"VALLONE, Andres Alberto","Unidad Justicialista","San Luis","NEGATIVO"
"VAZQUEZ, Juan Benedicto","Frente para la Victoria - PJ","Santa Cruz","AFIRMATIVO"
"VERA GONZALEZ, Orieta Cecilia","Coalición Cívica","Catamarca","NEGATIVO"
"VIGO, Alejandra María","Córdoba Federal","Córdoba","ABSTENCION"
"VILLA, Natalia Soledad","PRO","Buenos Aires","NEGATIVO"
"VILLALONGA, Juan Carlos","PRO","C.A.B.A.","AFIRMATIVO"
"VILLAVICENCIO, María Teresita","Evolución Radical","Tucumán","AFIRMATIVO"
"VOLNOVICH, Luana","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"WECHSLER, Marcelo Germán","PRO","C.A.B.A.","AFIRMATIVO"
"WELLBACH, Ricardo","Frente de la Concordia Misionero","Misiones","NEGATIVO"
"WISKY, Sergio Javier","PRO","Rio Negro","AFIRMATIVO"
"WOLFF, Waldo Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"YASKY, Hugo","Frente para la Victoria - PJ","Buenos Aires","AFIRMATIVO"
"YEDLIN, Pablo Raúl","Justicialista por Tucumán","Tucumán","AFIRMATIVO"
"ZAMARBIDE, Federico Raúl","Unión Cívica Radical","Mendoza","NEGATIVO"
"ZAMORA, Claudia","Frente Cívico por Santiago","Santiago del Estero","NEGATIVO"
"ZILIOTTO, Sergio Raúl","Justicialista","La Pampa","AFIRMATIVO"
"ZOTTOS, Miguel Andrés Costas","Justicialista","Salta","NEGATIVO"
