"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"GINOCCHIO, Silvana Micaela","Frente de Todos","Catamarca","NEGATIVO"
"GIOJA, José Luis","Frente de Todos","San Juan","NEGATIVO"
"GIORDANO, Juan Carlos","Izquierda Socialista - Frente de Izquierda","Buenos Aires","AFIRMATIVO"
"GODOY, Lucas Javier","Frente de Todos","Salta","AFIRMATIVO"
"GONZÁLEZ, Álvaro Gustavo","PRO","C.A.B.A.","NEGATIVO"
"GONZÁLEZ, Josefina Victoria","Frente de Todos","Santa Fe","AFIRMATIVO"
"GONZÁLEZ, Pablo Gerardo","Frente de Todos","Santa Cruz","AFIRMATIVO"
"GRANDE, Martín","PRO","Salta","NEGATIVO"
"GROSSO, Leonardo","Frente de Todos","Buenos Aires","AFIRMATIVO"
"GUEVARA OLIVERA, Alejandro Francisco","Frente de Todos","San Juan","AFIRMATIVO"
"GUTIERREZ, Carlos Mario","Córdoba Federal","Córdoba","NEGATIVO"
"GUTIÉRREZ, Carlos Ramiro","Frente de Todos","Buenos Aires","AFIRMATIVO"
"HAGMAN, Itai","Frente de Todos","C.A.B.A.","AFIRMATIVO"
"HEIN, Gustavo Rene","PRO","Entre Ríos","NEGATIVO"
"HELLER, Carlos Salomón","Frente de Todos","C.A.B.A.","AFIRMATIVO"
"HERNÁNDEZ, Estela Beatriz","Frente de Todos","Chubut","AFIRMATIVO"
"HERRERA, Bernardo José","Frente de Todos","Santiago del Estero","NEGATIVO"
"IGLESIAS, Fernando Adolfo","PRO","C.A.B.A.","AFIRMATIVO"
"IGON, Santiago Nicolás","Frente de Todos","Chubut","AFIRMATIVO"
"JETTER, Ingrid","PRO","Corrientes","NEGATIVO"
"JOURY, Mercedes","PRO","Buenos Aires","AFIRMATIVO"
"JUEZ, Luis Alfredo","PRO","Córdoba","NEGATIVO"
"KIRCHNER, Máximo Carlos","Frente de Todos","Buenos Aires","AFIRMATIVO"
"KOENIG, Marcelo Christian","Frente de Todos","Buenos Aires","AFIRMATIVO"
"LACOSTE, Jorge Enrique","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"LAMPREABE, Florencia","Frente de Todos","Buenos Aires","AFIRMATIVO"
"LANDRISCINI, Susana Graciela","Frente de Todos","Rio Negro","AFIRMATIVO"
"LASPINA, Luciano Andrés","PRO","Santa Fe","NEGATIVO"
"LATORRE, Jimena Hebe","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"LEHMANN, María Lucila","Coalición Cívica","Santa Fe","NEGATIVO"
"LEITO, Mario","Frente de Todos","Tucumán","AFIRMATIVO"
"LEIVA, Aldo","Frente de Todos","Chaco","NEGATIVO"
"LENA, Gabriela Mabel","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"LÓPEZ RODRÍGUEZ, Dante Edgardo","Frente de Todos","Catamarca","AFIRMATIVO"
"LOPEZ, Jimena","Frente de Todos","Buenos Aires","AFIRMATIVO"
"LÓPEZ, Juan Manuel","Coalición Cívica","C.A.B.A.","AFIRMATIVO"
"LOSPENNATO, Silvia Gabriela","PRO","Buenos Aires","AFIRMATIVO"
"MACHA, Mónica","Frente de Todos","Buenos Aires","AFIRMATIVO"
"MANZI, Ruben","Coalición Cívica","Catamarca","NEGATIVO"
"MAQUIEYRA, Martín","PRO","La Pampa","NEGATIVO"
"MARQUEZ, Claudia Gabriela","Córdoba Federal","Córdoba","NEGATIVO"
"MARTIARENA, José Luis","Frente de Todos","Jujuy","NEGATIVO"
"MARTIN, Juan","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"MARTÍNEZ VILLADA, Leonor María","Coalición Cívica","Córdoba","NEGATIVO"
"MARTÍNEZ, Germán Pedro","Frente de Todos","Santa Fe","AFIRMATIVO"
"MARTÍNEZ, Maria Dolores","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"MARTÍNEZ, Maria Rosa","Frente de Todos","Buenos Aires","AFIRMATIVO"
"MARZIOTTA, Maria Gisela","Frente de Todos","C.A.B.A.","AFIRMATIVO"
"MASIN, María Lucila","Frente de Todos","Chaco","AFIRMATIVO"
"MASSA, Sergio Tomás","Frente de Todos","Buenos Aires","PRESIDENTE"
"MASSETANI, Vanesa Laura","Frente de Todos","Santa Fe","NEGATIVO"
"MATZEN, Lorena","Unión Cívica Radical","Rio Negro","AFIRMATIVO"
"MEDINA, Gladys","Frente de Todos","Tucumán","NEGATIVO"
"MEDINA, Martín Nicolás","PRO","Buenos Aires","NEGATIVO"
"MENDOZA, Josefina","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"MENNA, Gustavo","Unión Cívica Radical","Chubut","AFIRMATIVO"
"MESTRE, Diego Matías","Unión Cívica Radical","Córdoba","NEGATIVO"
"MOISÉS, María Carolina","Frente de Todos","Jujuy","AFIRMATIVO"
"MONALDI, Osmar","PRO","Jujuy","NEGATIVO"
"MONTOTO, María Luisa","Frente de Todos","Santiago del Estero","NEGATIVO"
"MORALES GORLERI, Victoria","PRO","C.A.B.A.","NEGATIVO"
"MORALES, Flavia","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"MOREAU, Cecilia","Frente de Todos","Buenos Aires","AFIRMATIVO"
"MOREAU, Leopoldo Raúl Guido","Frente de Todos","Buenos Aires","AFIRMATIVO"
"MOSQUEDA, Juan","Frente de Todos","Chaco","NEGATIVO"
"MOUNIER, Patricia Monica","Frente de Todos","Santa Fe","AFIRMATIVO"
"MOYANO, Juan Facundo","Frente de Todos","Buenos Aires","AFIRMATIVO"
"MUÑOZ, Rosa Rosario","Frente de Todos","Chubut","NEGATIVO"
"NAJUL, Claudia Inés","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"NANNI, Miguel","Unión Cívica Radical","Salta","NEGATIVO"
"NAVARRO, Graciela","Frente de Todos","Santiago del Estero","NEGATIVO"
"NEDER, Estela Mary del Rosario","Frente de Todos","Santiago del Estero","NEGATIVO"
"NEGRI, Mario Raúl","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"NUÑEZ, José Carlos","PRO","Santa Fe","NEGATIVO"
"OBEID, Alejandra del Huerto","Frente de Todos","Santa Fe","AFIRMATIVO"
"OCAÑA, Maria Graciela","PRO","Buenos Aires","AFIRMATIVO"
"OLIVETO LAGO, Paula Mariana","Coalición Cívica","C.A.B.A.","NEGATIVO"
"ORMACHEA, Claudia","Frente de Todos","Buenos Aires","AFIRMATIVO"
"ORREGO, Humberto Marcelo","Producción y Trabajo","San Juan","NEGATIVO"
"OSUNA, Blanca Ines","Frente de Todos","Entre Ríos","AFIRMATIVO"
"PAROLA, Maria Graciela","Frente de Todos","Formosa","NEGATIVO"
"PASTORI, Luis Mario","Unión Cívica Radical","Misiones","NEGATIVO"
"PATIÑO, José Luis","PRO","C.A.B.A.","ABSTENCION"
"PENACCA, Paula Andrea","Frente de Todos","C.A.B.A.","AFIRMATIVO"
"PÉREZ ARAUJO, Hernán","Frente de Todos","La Pampa","AFIRMATIVO"
"PERTILE, Elda","Frente de Todos","Chaco","NEGATIVO"
"PETRI, Luis Alfonso","Unión Cívica Radical","Mendoza","NEGATIVO"
"PICCOLOMINI, María Carla","PRO","Buenos Aires","NEGATIVO"
"POLLEDO, Carmen","PRO","C.A.B.A.","NEGATIVO"
"PONCE, Carlos Ybrhain","Frente de Todos","San Luis","AFIRMATIVO"
"QUETGLAS, Fabio José","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"RAMÓN, José Luis","Unidad y Equidad Federal","Mendoza","NEGATIVO"
"RAUSCHENBERGER, Ariel","Frente de Todos","La Pampa","AFIRMATIVO"
"REGIDOR BELLEDONE, Estela Mercedes","Unión Cívica Radical","Corrientes","NEGATIVO"
"REY, Maria Lujan","PRO","Buenos Aires","AFIRMATIVO"
"REYES, Roxana Nahir","Unión Cívica Radical","Santa Cruz","NEGATIVO"
"REZINOVSKY, Dina Esther","PRO","C.A.B.A.","NEGATIVO"
"RICCARDO, José Luis","Unión Cívica Radical","San Luis","AFIRMATIVO"
"RITONDO, Cristian","PRO","Buenos Aires","NEGATIVO"
"RIZZOTTI, Jorge","Unión Cívica Radical","Jujuy","AFIRMATIVO"
"RODRIGUEZ SAA, Nicolás Marcelo","Frente de Todos","Buenos Aires","AFIRMATIVO"
"RODRIGUEZ, Alejandro","Consenso Federal","Buenos Aires","NEGATIVO"
"ROMERO, Jorge Antonio","Frente de Todos","Corrientes","NEGATIVO"
"ROMERO, Victor Hugo","Unión Cívica Radical","Córdoba","NEGATIVO"
"ROSSO, Victoria","Frente de Todos","San Luis","NEGATIVO"
"RUARTE, Adriana Noemi","PRO","Córdoba","NEGATIVO"
"RUIZ ARAGÓN, José Arnaldo","Frente de Todos","Corrientes","AFIRMATIVO"
"RUSSO, Laura","Frente de Todos","Buenos Aires","AFIRMATIVO"
"SAHAD, Julio Enrique","PRO","La Rioja","NEGATIVO"
"SALVADOR, Sebastian Nicolás","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"SANCHEZ, Francisco","PRO","Neuquén","NEGATIVO"
"SAND GIORASI, Nancy Aracely","Frente de Todos","Corrientes","NEGATIVO"
"SAPAG, Alma Liliana","Movimiento Popular Neuquino","Neuquén","NEGATIVO"
"SARGHINI, Jorge Emilio","Consenso Federal","Buenos Aires","AFIRMATIVO"
"SARTORI, Diego Horacio","Frente de la Concordia Misionero","Misiones","NEGATIVO"
"SCAGLIA, Gisela","PRO","Santa Fe","NEGATIVO"
"SCHIAVONI, Alfredo Oscar","PRO","Misiones","NEGATIVO"
"SCHLERETH, David Pablo","PRO","Neuquén","NEGATIVO"
"SCHWINDT, María Liliana","Frente de Todos","Buenos Aires","AFIRMATIVO"
"SELVA, Carlos Américo","Frente de Todos","Buenos Aires","NEGATIVO"
"SIERRA, Magdalena","Frente de Todos","Buenos Aires","AFIRMATIVO"
"SILEY, Vanesa","Frente de Todos","Buenos Aires","AFIRMATIVO"
"SORIA, Martin Ignacio","Frente de Todos","Rio Negro","AFIRMATIVO"
"SPOSITO, Ayelén","Frente de Todos","Rio Negro","AFIRMATIVO"
"STEFANI, Héctor Antonio","PRO","Tierra del Fuego","NEGATIVO"
"STILMAN, Mariana","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"SUAREZ LASTRA, Facundo","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"TAILHADE, Luis Rodolfo","Frente de Todos","Buenos Aires","AFIRMATIVO"
"TERADA, Alicia","Coalición Cívica","Chaco","NEGATIVO"
"TONELLI, Pablo Gabriel","PRO","C.A.B.A.","NEGATIVO"
"TORELLO, Pablo","PRO","Buenos Aires","NEGATIVO"
"TORRES, Ignacio Agustin","PRO","Chubut","NEGATIVO"
"TUNDIS, Mirta","Frente de Todos","Buenos Aires","AFIRMATIVO"
"UCEDA, Marisa Lourdes","Frente de Todos","Mendoza","AFIRMATIVO"
"UHRIG, Romina Maricel","Frente de Todos","Buenos Aires","ABSTENCION"
"VALDÉS, Eduardo Felix","Frente de Todos","C.A.B.A.","NEGATIVO"
"VALLEJOS, María Fernanda","Frente de Todos","Buenos Aires","AFIRMATIVO"
"VARA, Jorge Alberto","Unión Cívica Radical","Corrientes","NEGATIVO"
"VAZQUEZ, Juan Benedicto","Frente de Todos","Santa Cruz","AFIRMATIVO"
"VESSVESSIAN, Marcela Paola","Frente de Todos","Santa Cruz","AFIRMATIVO"
"VIGO, Alejandra María","Córdoba Federal","Córdoba","NEGATIVO"
"VILAR, Daniela","Frente de Todos","Buenos Aires","AFIRMATIVO"
"VILLA, Natalia Soledad","PRO","Buenos Aires","NEGATIVO"
"VIVERO, Carlos Alberto","Frente de Todos","Neuquén","AFIRMATIVO"
"WELLBACH, Ricardo","Frente de la Concordia Misionero","Misiones","NEGATIVO"
"WOLFF, Waldo Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"YACOBITTI, Emiliano Benjamin","Unión Cívica Radical","C.A.B.A.","AFIRMATIVO"
"YAMBRUN, Liliana","Frente de Todos","Buenos Aires","AFIRMATIVO"
"YASKY, Hugo","Frente de Todos","Buenos Aires","AFIRMATIVO"
"YEDLIN, Pablo Raúl","Frente de Todos","Tucumán","AFIRMATIVO"
"YUTROVIC, Ines Carolina","Frente de Todos","Tierra del Fuego","AFIRMATIVO"
"ZAMARBIDE, Federico Raúl","Unión Cívica Radical","Mendoza","NEGATIVO"
"ZOTTOS, Miguel Andrés Costas","Justicialista","Salta","NEGATIVO"
"ZUVIC, Mariana","Coalición Cívica","C.A.B.A.","ABSTENCION"
